latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.82289,-114.25749,304.79,0.59,0.53,2020-08-13,0851,N,VIIRS,n,2,289.27,1.17,N,2
37.8158,-119.65013,298.18,0.55,0.68,2020-08-13,0852,N,VIIRS,n,2,283.61,0.98,N,0
40.821,-114.25689,304.44,0.59,0.53,2020-08-13,0852,N,VIIRS,n,2,289.35,2.13,N,2
34.69061,-118.52743,301.58,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,276.45,2.56,N,0
34.68803,-118.47823,323.9,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.31,3.05,N,0
34.68826,-118.48254,325.72,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.91,3.05,N,0
34.68848,-118.48683,322.97,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.23,2.7,N,0
34.68871,-118.49115,322.57,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.48,2.7,N,0
34.68894,-118.49553,320.08,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.63,2.94,N,0
34.68917,-118.49995,327.68,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.55,2.94,N,0
34.68941,-118.50444,324.17,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.13,3.1,N,0
34.69357,-118.47183,319.19,0.44,0.63,2020-08-13,0853,N,VIIRS,n,2,290.74,2.5,N,0
34.69383,-118.47679,318.27,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.13,3.05,N,0
34.69409,-118.48168,318.35,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.47,3.05,N,0
34.69435,-118.48658,308.25,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,286.78,2.7,N,0
34.69461,-118.49146,309.68,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,283.65,2.7,N,0
34.69486,-118.49624,312.19,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,282.88,2.94,N,0
34.6951,-118.50086,315.83,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,282.09,2.94,N,0
34.69534,-118.50545,316.48,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,282.43,3.1,N,0
34.69558,-118.51001,319.58,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,286.52,3.1,N,0
34.69582,-118.5145,318.65,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.33,2.91,N,0
34.69605,-118.51897,327.87,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,292.1,2.91,N,0
34.70018,-118.48566,315.38,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,286.52,2.4,N,0
34.70042,-118.4903,306.21,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,284.33,2.4,N,0
34.70067,-118.49494,306.04,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,281.53,2.99,N,0
34.70092,-118.49967,308.13,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,280.18,2.99,N,0
34.70118,-118.50445,315.03,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,281.42,7.16,N,0
34.69967,-118.47608,324.23,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.02,2.64,N,0
34.69993,-118.48097,332.57,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,288.58,2.64,N,0
34.70143,-118.50926,367,0.45,0.63,2020-08-13,0853,N,VIIRS,h,2,284.59,7.16,N,0
34.70168,-118.51407,357.31,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,284.92,11.82,N,0
34.70529,-118.47121,306.62,0.44,0.63,2020-08-13,0853,N,VIIRS,n,2,288.29,1.94,N,0
34.70554,-118.47607,308.18,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,287.81,2.64,N,0
36.35655,-114.91212,319.53,0.58,0.52,2020-08-13,0853,N,VIIRS,n,2,295.63,3.82,N,2
34.71093,-118.46684,317.95,0.44,0.63,2020-08-13,0853,N,VIIRS,n,2,290.08,8.53,N,0
34.70702,-118.50365,323.26,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,283.48,7.16,N,0
34.70675,-118.49858,335.57,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,285.42,2.99,N,0
34.70649,-118.49387,325.14,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,285.39,2.99,N,0
34.70758,-118.51415,309.36,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,281.76,11.82,N,0
34.7073,-118.50896,311.73,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,283.15,7.16,N,0
34.70626,-118.48941,316.02,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,285.53,2.4,N,0
34.70602,-118.48505,314.95,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,287.27,2.4,N,0
34.70579,-118.48067,314.08,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,287.85,2.64,N,0
34.71264,-118.49881,344.14,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,284.96,18.57,N,0
34.71238,-118.49403,367,0.45,0.63,2020-08-13,0853,N,VIIRS,h,2,291.65,18.57,N,0
34.71215,-118.48951,367,0.45,0.63,2020-08-13,0853,N,VIIRS,h,2,288.31,10.42,N,0
34.71191,-118.48515,340.51,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.43,10.42,N,0
34.71143,-118.47628,327.98,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.83,6.8,N,0
34.71117,-118.47147,367,0.44,0.63,2020-08-13,0853,N,VIIRS,h,2,294.63,8.53,N,0
34.71292,-118.50397,298.47,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,282.78,3.5,N,0
34.71168,-118.48084,312.41,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289,6.8,N,0
34.68966,-118.50922,313.2,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.23,3.1,N,0
34.69014,-118.51834,317.8,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.4,2.91,N,0
34.69037,-118.52285,310.98,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,282.55,2.56,N,0
34.68303,-118.49496,325.31,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,293.03,3.31,N,0
34.68328,-118.49982,322.26,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,292.76,3.31,N,0
34.68778,-118.47353,316.67,0.44,0.63,2020-08-13,0853,N,VIIRS,n,2,289.4,2.5,N,0
34.6899,-118.51388,310.79,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.55,2.91,N,0
34.63521,-118.55654,303.88,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.11,8.1,N,0
34.63593,-118.56968,308.13,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,288.67,43.04,N,0
34.63547,-118.56117,336.14,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.22,34.31,N,0
34.6357,-118.56554,320.09,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,288.76,34.31,N,0
34.64204,-118.57333,309.75,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,288.32,43.04,N,0
34.64124,-118.55893,351.67,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,295.6,34.31,N,0
34.64151,-118.56374,324.7,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,316,34.31,N,0
34.64177,-118.56854,367,0.45,0.63,2020-08-13,0853,N,VIIRS,h,2,297.85,43.04,N,0
34.64676,-118.5521,307.16,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.57,2.95,N,0
34.64701,-118.55654,317.55,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.37,2.55,N,0
34.64729,-118.56143,305.4,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.17,2.55,N,0
34.65276,-118.55392,330.95,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.11,2.55,N,0
34.65781,-118.53874,305.73,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.5,1.92,N,0
34.65805,-118.5431,304.75,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.13,2.41,N,0
34.66365,-118.5378,303.74,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.24,1.92,N,0
34.66387,-118.5417,308.55,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.07,2.41,N,0
34.6646,-118.55471,319.96,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.34,4.96,N,0
34.6641,-118.54573,324.62,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,292.77,2.41,N,0
34.66434,-118.54996,334.58,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.96,4.96,N,0
34.66701,-118.49332,302.37,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,288.88,3.09,N,0
34.66945,-118.53612,306.09,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.03,2.01,N,0
34.66968,-118.54016,312.45,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,292.39,3.22,N,0
34.66992,-118.54436,317.69,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,293.01,3.22,N,0
34.67019,-118.54915,318.65,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,293.04,2.95,N,0
34.67051,-118.55487,309.62,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.23,2.95,N,0
34.6737,-118.50743,308.74,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.75,3.93,N,0
34.67424,-118.51692,303.17,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,286.07,2.16,N,0
34.67476,-118.52601,300.01,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,276.24,1.2,N,0
34.675,-118.53012,308.02,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,284.32,2.01,N,0
34.67601,-118.54794,314.24,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.59,2.95,N,0
34.67397,-118.51203,320.47,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,288.73,2.16,N,0
34.67523,-118.53411,320.74,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.33,2.01,N,0
34.67545,-118.53811,324.99,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,292.89,3.22,N,0
34.67572,-118.54277,321.25,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,295.13,3.22,N,0
34.64496,-118.55746,312.16,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.46,4.99,N,0
34.64547,-118.56795,317.36,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,288.39,8.97,N,0
34.6452,-118.5624,367,0.45,0.63,2020-08-13,0853,N,VIIRS,h,2,296.11,8.97,N,0
34.65073,-118.55485,336.21,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.32,4.99,N,0
34.66169,-118.53811,306.29,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,288.62,2.62,N,0
34.6619,-118.54213,311.43,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.41,2.62,N,0
34.6621,-118.54617,312.83,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.46,2.71,N,0
34.66231,-118.55034,309.39,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.06,2.71,N,0
34.66771,-118.54063,311.98,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,292.41,3.19,N,0
34.66793,-118.54478,321.71,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,294.22,4.15,N,0
34.66816,-118.54939,333.48,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,293.94,4.15,N,0
34.66844,-118.55489,335.93,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.85,9.42,N,0
34.67109,-118.49145,304.38,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.35,1.26,N,0
34.67138,-118.49715,306.44,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.4,3.45,N,0
34.67215,-118.51203,313.15,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,288.32,3.9,N,0
34.6731,-118.53073,302.14,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,282.91,2.08,N,0
34.67331,-118.53474,316.19,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,288.27,3.19,N,0
34.674,-118.54827,318.45,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,292.94,4.15,N,0
34.67352,-118.53882,322.32,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,292.29,3.19,N,0
34.67375,-118.54327,322.25,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,294.21,4.15,N,0
34.67717,-118.49518,308.31,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.68,3.31,N,0
34.67745,-118.50072,306.28,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.76,3.31,N,0
34.67773,-118.50619,307.83,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.3,2.24,N,0
34.67799,-118.51128,316.07,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.99,2.24,N,0
34.67823,-118.51594,312.23,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,287.46,1.59,N,0
34.67846,-118.52027,305.07,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,279.9,1.59,N,0
34.67868,-118.52451,302.9,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,274.84,1.02,N,0
34.67889,-118.52869,307.9,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,277.45,1.02,N,0
34.6791,-118.5327,316.37,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,285.07,1.77,N,0
34.67931,-118.5368,308.21,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.12,1.77,N,0
34.67666,-118.48553,367,0.45,0.63,2020-08-13,0853,N,VIIRS,h,2,294.46,9.99,N,0
34.67691,-118.4902,324.73,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.66,9.99,N,0
34.68189,-118.47318,313.37,0.44,0.63,2020-08-13,0853,N,VIIRS,n,2,289.89,2.43,N,0
34.68354,-118.50472,315.38,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.87,2.24,N,0
34.6838,-118.50982,308.59,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.67,2.24,N,0
34.68405,-118.5145,307.14,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,289.41,1.59,N,0
34.68427,-118.51884,306.26,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,282.89,1.59,N,0
34.6845,-118.52316,303.71,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,276.58,1.02,N,0
34.68473,-118.52753,305.11,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,274.23,1.02,N,0
34.68496,-118.53191,299.91,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,275.06,1.77,N,0
34.68211,-118.47731,328.33,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,291.51,7.2,N,0
34.68233,-118.4816,321.96,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,290.88,7.2,N,0
34.68256,-118.48597,339.71,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,293.73,9.99,N,0
34.6828,-118.49043,332.48,0.45,0.63,2020-08-13,0853,N,VIIRS,n,2,294.28,9.99,N,0
32.71655,-114.76107,301.94,0.52,0.5,2020-08-13,0854,N,VIIRS,n,2,281.37,2.17,N,0
32.71303,-114.75782,324.61,0.52,0.5,2020-08-13,0854,N,VIIRS,n,2,282.71,1.9,N,0
32.71193,-114.76176,330.75,0.52,0.5,2020-08-13,0854,N,VIIRS,n,2,283.83,2.17,N,0
32.71355,-114.76338,307.34,0.52,0.5,2020-08-13,0854,N,VIIRS,n,2,284.98,2.38,N,0
41.15872,-123.47068,329.97,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,288.72,3.19,N,0
41.16006,-123.47701,311.84,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,287.56,2.55,N,0
41.15595,-123.49577,301.55,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,287.18,0.99,N,0
41.15545,-123.49755,302.28,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,286.21,1.61,N,0
39.61782,-119.26349,297.88,0.61,0.54,2020-08-13,1032,N,VIIRS,n,2,285.64,1.46,N,2
39.62085,-119.26154,295.7,0.61,0.54,2020-08-13,1032,N,VIIRS,n,2,284.71,0.56,N,2
41.17476,-123.41209,296.75,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,284.78,0.73,N,0
41.17934,-123.43376,305.75,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,286.74,1.88,N,0
41.19794,-123.52183,309.13,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,289.31,3.27,N,0
41.18053,-123.43936,320.37,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,288.6,1.88,N,0
41.18317,-123.43261,310.91,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,288.8,1.88,N,0
41.20179,-123.5209,332.16,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,290.8,3.27,N,0
41.18357,-123.41531,299.84,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,285.92,0.48,N,0
41.18469,-123.4206,306.69,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,286.94,1.7,N,0
41.18943,-123.44303,308.28,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,288.18,1.33,N,0
41.18702,-123.4316,330.29,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,290.19,2.23,N,0
41.18821,-123.43726,320.19,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,289.73,2.23,N,0
41.18852,-123.41947,301.64,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,287.18,1.7,N,0
41.19085,-123.4305,301.02,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,286.97,2.23,N,0
41.19205,-123.43619,299.8,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,287.72,2.23,N,0
41.19468,-123.42939,302.85,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,286.99,2.83,N,0
41.19588,-123.43508,300.37,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,287.07,2.83,N,0
41.19975,-123.43414,305.33,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,287.4,2.83,N,0
41.19853,-123.42839,335.03,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,288.65,2.83,N,0
41.20235,-123.42725,301.04,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,286.04,0.83,N,0
41.20596,-123.44439,317.31,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,288.85,3.74,N,0
41.20963,-123.40387,297.33,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,285.53,0.78,N,0
41.21088,-123.4098,343.46,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,291.05,7.96,N,0
41.2145,-123.40769,319.53,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,288.05,3.27,N,0
40.84832,-119.63945,298.22,0.55,0.51,2020-08-13,1032,N,VIIRS,n,2,283.98,1.1,N,0
40.82033,-114.25879,312.97,0.5,0.66,2020-08-13,1032,N,VIIRS,n,2,289.35,2.13,N,2
40.81977,-114.25507,302.97,0.5,0.66,2020-08-13,1032,N,VIIRS,n,2,288.69,2.01,N,2
40.82193,-114.26212,300.22,0.5,0.66,2020-08-13,1032,N,VIIRS,n,2,288.54,2.35,N,2
41.1941,-123.52288,325.92,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,289.45,4,N,0
41.19286,-123.51696,330.99,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,290.78,4,N,0
41.17682,-123.44104,330.59,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,289.45,22.4,N,0
41.17566,-123.43555,352.97,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,306.3,22.4,N,0
41.17446,-123.42988,305.44,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,286.43,2.32,N,0
41.18897,-123.51775,332.31,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,290.64,4,N,0
41.17079,-123.43176,323.58,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,287.72,2.32,N,0
41.19036,-123.52431,300.35,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,287.48,4,N,0
41.17202,-123.43754,317.14,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,288.38,22.4,N,0
41.1868,-123.52662,309.08,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,288.81,1.41,N,0
41.16831,-123.43922,300.76,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,287.12,1.27,N,0
41.16711,-123.43356,305.78,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,286.01,0.92,N,0
41.18333,-123.52938,306.9,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,288.58,1.41,N,0
41.18179,-123.52211,304.65,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,288.07,1.41,N,0
41.16452,-123.44051,303.37,0.54,0.42,2020-08-13,1032,N,VIIRS,n,2,286.11,1.27,N,0
41.17984,-123.53199,307.42,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,288.58,2.64,N,0
41.17834,-123.52489,305.86,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,287.9,2.64,N,0
41.17484,-123.52747,333.83,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,291.47,2.64,N,0
41.17621,-123.53394,304.13,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,287.87,2.64,N,0
41.17348,-123.52107,299.77,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,288.33,1.17,N,0
41.16504,-123.48134,307.4,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,288.43,1.77,N,0
41.16142,-123.48338,314.06,0.53,0.42,2020-08-13,1032,N,VIIRS,n,2,288.38,2.55,N,0
36.64615,-119.48979,299.37,0.35,0.57,2020-08-13,1033,N,VIIRS,n,2,288.73,0.5,N,0
37.94954,-122.40137,301.91,0.47,0.47,2020-08-13,1033,N,VIIRS,n,2,291.61,1.53,N,2
38.00389,-121.93593,305.35,0.49,0.49,2020-08-13,1033,N,VIIRS,n,2,293.01,0.95,N,2
38.06916,-122.13836,303.18,0.48,0.48,2020-08-13,1033,N,VIIRS,n,2,292.41,1.21,N,2
36.35653,-114.91418,304.05,0.62,0.72,2020-08-13,1033,N,VIIRS,n,2,293.17,1.92,N,2
37.81412,-119.64886,297.07,0.33,0.55,2020-08-13,1033,N,VIIRS,n,2,283.46,0.62,N,0
35.12097,-118.36699,295.35,0.44,0.63,2020-08-13,1034,N,VIIRS,n,2,282.61,0.68,N,2
34.67432,-118.48479,338.15,0.33,0.55,2020-08-13,2013,N,VIIRS,n,2,299.4,2.33,D,0
34.65494,-118.56266,333.81,0.33,0.56,2020-08-13,2013,N,VIIRS,n,2,296.33,77.77,D,0
34.65683,-118.55508,367,0.33,0.56,2020-08-13,2013,N,VIIRS,l,2,344.12,105.19,D,0
34.67929,-118.48646,367,0.33,0.55,2020-08-13,2013,N,VIIRS,h,2,302.4,11.43,D,0
34.64178,-118.56117,367,0.33,0.56,2020-08-13,2013,N,VIIRS,h,2,307,8.03,D,0
34.63739,-118.55696,347.28,0.33,0.56,2020-08-13,2013,N,VIIRS,n,2,307.74,8.03,D,0
34.13223,-117.26144,345.49,0.58,0.52,2020-08-13,2013,N,VIIRS,n,2,308.56,6.34,D,0
34.6646,-118.54562,367,0.33,0.56,2020-08-13,2013,N,VIIRS,h,2,302.11,12.26,D,0
34.66886,-118.55025,346.52,0.33,0.56,2020-08-13,2013,N,VIIRS,n,2,297.69,12.26,D,0
34.69959,-118.5134,345.24,0.33,0.55,2020-08-13,2013,N,VIIRS,n,2,298.34,9.82,D,0
34.70626,-118.50821,367,0.33,0.55,2020-08-13,2013,N,VIIRS,h,2,302.08,13.43,D,0
34.70969,-118.49432,346.86,0.33,0.55,2020-08-13,2013,N,VIIRS,n,2,305.67,4.66,D,0
35.55556,-115.46851,340.75,0.44,0.46,2020-08-13,2013,N,VIIRS,n,2,310.11,6.72,D,2
34.63205,-118.5567,367,0.33,0.56,2020-08-13,2013,N,VIIRS,h,2,305.06,7.37,D,0
34.63649,-118.56065,367,0.33,0.56,2020-08-13,2013,N,VIIRS,h,2,306.15,8.03,D,0
34.65425,-118.55431,367,0.33,0.56,2020-08-13,2013,N,VIIRS,l,2,372.02,181.23,D,0
34.65337,-118.55793,208,0.33,0.56,2020-08-13,2013,N,VIIRS,l,2,308.18,95.23,D,0
34.63895,-118.56154,355.75,0.33,0.56,2020-08-13,2013,N,VIIRS,n,2,306.63,27.83,D,0
34.64518,-118.55831,349.26,0.33,0.56,2020-08-13,2013,N,VIIRS,n,2,301.74,27.83,D,0
34.64424,-118.5621,345.86,0.33,0.56,2020-08-13,2013,N,VIIRS,n,2,312.94,27.83,D,0
34.64327,-118.56595,333.13,0.33,0.56,2020-08-13,2013,N,VIIRS,n,2,298.96,14.51,D,0
34.65235,-118.55132,347.53,0.33,0.56,2020-08-13,2013,N,VIIRS,n,2,304.25,105.19,D,0
34.65057,-118.55846,343.16,0.33,0.56,2020-08-13,2013,N,VIIRS,n,2,299.78,77.77,D,0
34.64707,-118.56165,367,0.33,0.56,2020-08-13,2013,N,VIIRS,h,2,306,95.23,D,0
34.65148,-118.55482,367,0.33,0.56,2020-08-13,2013,N,VIIRS,l,2,331.13,105.19,D,0
34.65771,-118.55154,367,0.33,0.56,2020-08-13,2013,N,VIIRS,h,2,301.23,105.19,D,0
34.65509,-118.55083,367,0.33,0.56,2020-08-13,2013,N,VIIRS,h,2,303.7,181.23,D,0
41.18839,-123.52206,328.03,0.41,0.6,2020-08-13,2015,N,VIIRS,n,2,294.16,3.48,D,0
41.15948,-123.50111,341.25,0.41,0.6,2020-08-13,2015,N,VIIRS,n,2,296.27,2.97,D,0
41.20918,-123.40884,326.97,0.4,0.6,2020-08-13,2015,N,VIIRS,n,2,294.62,2.58,D,0
41.17796,-123.43171,329.82,0.4,0.6,2020-08-13,2015,N,VIIRS,n,2,291.46,3.48,D,0
41.17649,-123.43683,331.61,0.4,0.6,2020-08-13,2015,N,VIIRS,n,2,293.19,3.48,D,0
41.15871,-123.49908,339.74,0.41,0.6,2020-08-13,2015,N,VIIRS,n,2,296.24,7.97,D,0
41.21482,-123.40768,326.08,0.4,0.6,2020-08-13,2015,N,VIIRS,n,2,294.43,5.27,D,0
41.18008,-123.53007,338.66,0.41,0.6,2020-08-13,2015,N,VIIRS,n,2,295.03,9.43,D,0
41.17918,-123.5332,330.72,0.41,0.61,2020-08-13,2015,N,VIIRS,n,2,294.43,4.9,D,0
41.17815,-123.53683,325.64,0.41,0.61,2020-08-13,2015,N,VIIRS,n,2,294.7,4.9,D,0
41.18414,-123.537,367,0.41,0.61,2020-08-13,2015,N,VIIRS,h,2,326.56,115.15,D,0
41.17815,-123.43423,345.16,0.4,0.6,2020-08-13,2015,N,VIIRS,n,2,293.83,3.51,D,0
41.18588,-123.53088,341.18,0.41,0.6,2020-08-13,2015,N,VIIRS,n,2,294.41,69.79,D,0
41.18505,-123.53382,356.2,0.41,0.6,2020-08-13,2015,N,VIIRS,l,2,308.13,69.79,D,0
41.18291,-123.54134,208,0.41,0.61,2020-08-13,2015,N,VIIRS,l,2,304.3,115.15,D,0
40.8502,-119.6244,367,0.54,0.51,2020-08-13,2015,N,VIIRS,h,2,344.56,197.21,D,0
